Codice Regione-Data inizio;Regione-Data inizio;Codice Provincia/Uts-Data inizio;Provincia/uts-Data inizio;Codice Comune-Data inizio;Comune-Data inizio;Codice Comune-Data fine;Comune-Data fine;Codice Provincia/Uts-Data fine;Provincia/Uts-Data fine;Codice Regione-Data fine;Regione-Data fine
01;Piemonte;001;Torino;001001;Agliè;001001;Agliè;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001002;Airasca;001002;Airasca;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001003;Ala di Stura;001003;Ala di Stura;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001004;Albiano d'Ivrea;001004;Albiano d'Ivrea;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001005;Alice Superiore;001317;Val di Chy;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001006;Almese;001006;Almese;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001007;Alpette;001007;Alpette;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001008;Alpignano;001008;Alpignano;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001009;Andezeno;001009;Andezeno;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001010;Andrate;001010;Andrate;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001011;Angrogna;001011;Angrogna;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001012;Arignano;001012;Arignano;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001013;Avigliana;001013;Avigliana;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001014;Azeglio;001014;Azeglio;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001015;Bairo;001015;Bairo;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001016;Balangero;001016;Balangero;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001017;Baldissero Canavese;001017;Baldissero Canavese;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001018;Baldissero Torinese;001018;Baldissero Torinese;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001019;Balme;001019;Balme;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001020;Banchette;001020;Banchette;201;Torino;01;Piemonte
01;Piemonte;001;Torino;001021;Barbania;001021;Barbania;201;Torino;01;Piemonte
