ITTER107,Territorio,ETA1,TIME,REGM,JAN,DEATH,LBIRTH,DEC,ACQCITIZ,DEREGOTHC,REGOTHC,DEREGM
IT,Italia,TOTAL,2001,161054,56995744,103213,95461,56993270,0,33300,38578,161054
IT,Italia,TOTAL,2002,1458973,56993270,557393,538198,57186378,0,131352,343655,1458973
IT,Italia,TOTAL,2003,1468772,57186378,586468,544063,57611990,0,127688,595705,1468772
IT,Italia,TOTAL,2004,1585953,57611990,546658,562599,58044368,0,142454,558891,1585953
IT,Italia,TOTAL,2005,1608581,58044368,567304,554022,58288996,0,157335,415245,1608581
IT,Italia,TOTAL,2006,1640217,58288996,557892,560010,58510725,0,169472,389083,1640217
IT,Italia,TOTAL,2007,1632812,58510725,570801,563933,59001769,0,152177,650089,1632812
IT,Italia,TOTAL,2008,1653601,59001769,585126,576659,59420592,0,188591,615881,1653601
IT,Italia,TOTAL,2009,1552324,59420592,591663,568857,59690316,0,221120,513650,1552324
IT,Italia,TOTAL,2010,1558686,59690316,587488,561944,59948497,0,244898,528623,1558686
IT,Italia,TOTAL,2011,1501523,59948497,593402,546585,60105185,0,246010,449515,1501523
IT,Italia,TOTAL,2012,1728749,60105185,612883,534186,60277309,0,162175,412996,1728749
IT,Italia,TOTAL,2013,1617229,60277309,600744,514308,60345917,0,207827,362871,1617229
IT,Italia,TOTAL,2014,1479721,60345917,598364,502596,60295497,0,267019,312367,1479721
IT,Italia,TOTAL,2015,1475842,60295497,647571,485780,60163712,0,276095,306101,1475842
IT,Italia,TOTAL,2016,1496027,60163712,615261,473438,60066734,0,281915,326760,1496027
IT,Italia,TOTAL,2017,1499637,60066734,649061,458151,59937769,0,308859,370804,1499637
IT,Italia,TOTAL,2018,1531483,59937769,633133,439747,59816673,0,291819,364109,1531483
ITCD,Nord,TOTAL,2001,77854,25590739,47924,41297,25591158,0,16912,19987,73883
ITCD,Nord,TOTAL,2002,800810,25591158,266809,233903,25728386,0,63617,189282,756341
ITCD,Nord,TOTAL,2003,801350,25728386,280304,236649,25986901,0,59119,333231,773292
ITCD,Nord,TOTAL,2004,890608,25986901,259604,249824,26263458,0,68811,319355,854815
ITCD,Nord,TOTAL,2005,894865,26263458,267865,248568,26428481,0,79787,233850,864608
ITCD,Nord,TOTAL,2006,925983,26428481,264345,254010,26574759,0,85770,214979,898579
ITCD,Nord,TOTAL,2007,915061,26574759,267255,257792,26846568,0,82048,338535,890276
ITCD,Nord,TOTAL,2008,904452,26846568,277555,264035,27097110,0,102870,330261,867781
ITCD,Nord,TOTAL,2009,833010,27097110,277459,262561,27242434,0,126673,272376,818491
ITCD,Nord,TOTAL,2010,846913,27242434,276780,259351,27383547,0,145376,285263,828258
ITCD,Nord,TOTAL,2011,832135,27383547,276340,250884,27484676,0,143714,236771,798607
ITCD,Nord,TOTAL,2012,928586,27484676,286810,245756,27605544,0,94219,216286,888731
ITCD,Nord,TOTAL,2013,881183,27605544,281523,235947,27674399,0,117351,193886,843287
ITCD,Nord,TOTAL,2014,817303,27674399,278138,229597,27670647,0,151317,161123,782320
ITCD,Nord,TOTAL,2015,833370,27670647,302876,221721,27629546,0,155436,153154,791034
ITCD,Nord,TOTAL,2016,841578,27629546,288055,215193,27618507,0,155001,168448,793202
ITCD,Nord,TOTAL,2017,856461,27618507,300938,207771,27611376,0,166664,195680,799441
ITCD,Nord,TOTAL,2018,884865,27611376,299929,199971,27626522,0,153415,195870,812216
ITCD,Nord,TOTAL,2019,NA,27626522,NA,NA,NA,NA,NA,NA,NA
ITC,Nord-ovest,TOTAL,2001,45804,14938562,27559,23721,14936134,0,10274,10895,45015
ITC,Nord-ovest,TOTAL,2002,482510,14936134,156549,134948,14993005,0,36986,105580,472632
ITC,Nord-ovest,TOTAL,2003,476942,14993005,164697,136616,15128757,0,33389,194842,474562
ITC,Nord-ovest,TOTAL,2004,534772,15128757,150517,143502,15287733,0,40478,193388,521691
ITC,Nord-ovest,TOTAL,2005,534817,15287733,156466,142849,15371769,0,45783,133921,525302
ITC,Nord-ovest,TOTAL,2006,555527,15371769,154568,146403,15443009,0,49214,121504,548412
ITC,Nord-ovest,TOTAL,2007,547695,15443009,155212,148242,15584857,0,47349,190865,542393
ITC,Nord-ovest,TOTAL,2008,541747,15584857,161991,151969,15709231,0,57556,178667,528462
ITC,Nord-ovest,TOTAL,2009,498015,15709231,162435,151552,15790680,0,70313,156875,492245
ITC,Nord-ovest,TOTAL,2010,512081,15790680,161707,149437,15876746,0,81118,167482,500109
ITC,Nord-ovest,TOTAL,2011,495772,15876746,160905,144537,15945157,0,74490,142311,478814
ITC,Nord-ovest,TOTAL,2012,563805,15945157,167283,141625,16018630,0,49669,128030,543035
ITC,Nord-ovest,TOTAL,2013,536166,16018630,164309,136115,16059260,0,65347,115494,517489
ITC,Nord-ovest,TOTAL,2014,493755,16059260,161817,132744,16055730,0,86023,95711,477900
ITC,Nord-ovest,TOTAL,2015,500933,16055730,177519,128199,16027445,0,87274,89008,481632
ITC,Nord-ovest,TOTAL,2016,505941,16027445,167523,124183,16018823,0,86298,97946,482871
ITC,Nord-ovest,TOTAL,2017,510769,16018823,176464,120195,16004627,0,95386,112354,485664
ITC,Nord-ovest,TOTAL,2018,526202,16004627,177095,114712,15998031,0,87187,109845,493073
ITC11,Torino,TOTAL,2001,5323,2165619,3315,3153,2165695,0,1163,1474,5396
ITC11,Torino,TOTAL,2002,65440,2165695,21938,18985,2169876,0,3938,12880,67248
ITC11,Torino,TOTAL,2003,62999,2169876,23585,19492,2189701,0,3774,30964,66271
ITC11,Torino,TOTAL,2004,71660,2189701,21447,19970,2202292,0,6587,22599,73604
ITC11,Torino,TOTAL,2005,69020,2202292,22416,19942,2208364,0,4920,16831,72385
ITC11,Torino,TOTAL,2006,73016,2208364,22091,20051,2214122,0,4730,14846,75334
ITC11,Torino,TOTAL,2007,75494,2214122,22350,20513,2245170,0,4583,39765,77791
ITC11,Torino,TOTAL,2008,74521,2245170,23095,21163,2260921,0,7124,26472,76186
ITC11,Torino,TOTAL,2009,69221,2260921,23450,20787,2268453,0,9705,20405,69726
ITC11,Torino,TOTAL,2010,71159,2268453,23198,20512,2273859,0,11783,19140,70424
ITC11,Torino,TOTAL,2011,69138,2273859,23738,20114,2278547,0,9310,16885,68401
ITC11,Torino,TOTAL,2012,81267,2278547,24133,19584,2286885,0,5729,16797,79448
ITC11,Torino,TOTAL,2013,70921,2286885,24290,18871,2285336,0,7468,12531,72114
ITC11,Torino,TOTAL,2014,68071,2285336,23647,18302,2275771,0,14818,10836,68309
ITC11,Torino,TOTAL,2015,68100,2275771,26192,17463,2268360,0,10008,10587,67361
ITC11,Torino,TOTAL,2016,68101,2268360,24429,16565,2262336,0,9815,12146,68592
ITC11,Torino,TOTAL,2017,68804,2262336,26108,16205,2249616,0,15437,12638,68822
ITC11,Torino,TOTAL,2018,66805,2249616,26208,15240,2238663,0,10118,11055,67727
ITC11,Torino,TOTAL,2019,NA,2238663,NA,NA,NA,NA,NA,NA,NA
ITC12,Vercelli,TOTAL,2001,499,176829,439,244,176591,0,120,124,546
ITC12,Vercelli,TOTAL,2002,5643,176591,2413,1345,176249,0,331,1151,5737
ITC12,Vercelli,TOTAL,2003,5819,176249,2392,1376,177176,0,348,2051,5579
ITC12,Vercelli,TOTAL,2004,6267,177176,2218,1389,177634,0,399,1571,6152
