i,j,geom_id,year,cell_percent_of_total_agents,percent_of_agent_type,agent_type,likelyhood
1,6,Ltnp,2021,0.005611460511208114,0.4437521110733239,C,0.0024900974480531936
1,6,Ltnp,2021,0.005611460511208114,0.46941521871798686,B,0.002634104963196103
1,6,Ltnp,2021,0.005611460511208114,0.08683267020868923,A,4.872580999588168e-4
2,6,5JhQ,2021,0.0065320378688972615,0.6453047526013942,C,0.004215155080971686
2,6,5JhQ,2021,0.0065320378688972615,0.34082987497908,B,0.00222631365021487
2,6,5JhQ,2021,0.0065320378688972615,0.01386537241952579,A,9.056913771070611e-5
4,6,sTw8,2021,0.01619217729236877,0.5237201470115713,C,0.008480169471996798
4,6,sTw8,2021,0.01619217729236877,0.4328961178024443,B,0.0070095306886353344
4,6,sTw8,2021,0.01619217729236877,0.04338373518598437,A,7.024771317366362e-4
1,5,81FR,2021,0.016418091037316382,0.474454710454873,C,0.007789640629331689
1,5,81FR,2021,0.016418091037316382,0.45078527037665894,B,0.007401033607325266
1,5,81FR,2021,0.016418091037316382,0.07476001916846808,A,0.0012274168006594268
0,6,k3QK,2021,0.014455095201067464,0.5699263803803802,C,0.008238340085998185
0,6,k3QK,2021,0.014455095201067464,0.4008027278637456,B,0.0057936415881179775
0,6,k3QK,2021,0.014455095201067464,0.029270891755874162,A,4.231135269513018e-4
5,6,KWH5,2021,0.01249463772150335,0.536710729511678,C,0.006706006126492193
5,6,KWH5,2021,0.01249463772150335,0.4280133377320485,B,0.005347871594933406
5,6,KWH5,2021,0.01249463772150335,0.0352759327562735,A,4.4076000007775047e-4
2,5,6J0g,2021,0.021268044543083106,0.5752185074146756,C,0.012233772837701102
2,5,6J0g,2021,0.021268044543083106,0.3955442623688663,B,0.008412452990822
2,5,6J0g,2021,0.021268044543083106,0.029237230216458077,A,6.218187145600057e-4
2,0,6X0V,2021,0.012072424392930846,0.3951630760510642,C,0.004770576358504455
2,0,6X0V,2021,0.012072424392930846,0.30578856660216974,B,0.0036916093505273925
2,0,6X0V,2021,0.012072424392930846,0.29904835734676605,A,0.0036102386838989986
6,0,eVWC,2021,0.025943697556493242,0.5235625775826682,C,0.013583149164702773
6,0,eVWC,2021,0.025943697556493242,0.26576423212813227,B,0.006894906859665928
6,0,eVWC,2021,0.025943697556493242,0.2106731902891995,A,0.005465641532124541
1,0,pQHl,2021,0.018484313378747355,0.3949438159622722,C,0.007300265261244961
1,0,pQHl,2021,0.018484313378747355,0.331729098159211,B,0.006131784607224098
1,0,pQHl,2021,0.018484313378747355,0.27332708587851684,A,0.005052263510278296
3,1,RH3I,2021,0.020839908382246055,0.42069109931758253,C,0.008767163967004795
3,1,RH3I,2021,0.020839908382246055,0.3820217190655607,B,0.007961297625354425
3,1,RH3I,2021,0.020839908382246055,0.19728718161685677,A,0.004111446789886833
5,2,58bI,2021,0.024469758441516685,0.4920658986661681,C,0.01204073367766896
5,2,58bI,2021,0.024469758441516685,0.408804784538525,B,0.01000335432739398
