mun,mun_code,year,r.median
ABANO TERME,28001,2001,13596.895257591266
ABANO TERME,28001,2004,15130.723942433493
ABANO TERME,28001,2011,18079.684942716856
ABANO TERME,28001,2015,19100.584917484855
ABANO TERME,28001,2019,19694.551346971846
ABANO TERME,28001,2020,18838.07751259032
ABANO TERME,28001,2021,19855.76323987539
ABANO TERME,28001,2022,20794.524669073406
ABBADIA CERRETO,98001,2001,12017.543859649124
ABBADIA CERRETO,98001,2004,13488.372093023256
ABBADIA CERRETO,98001,2011,15220
ABBADIA CERRETO,98001,2015,16613.333333333336
ABBADIA CERRETO,98001,2019,19262.5
ABBADIA CERRETO,98001,2020,17636.986301369863
ABBADIA CERRETO,98001,2021,18487.80487804878
ABBADIA CERRETO,98001,2022,18864.864864864863
ABBADIA LARIANA,97001,2001,15540.571428571428
ABBADIA LARIANA,97001,2004,16901.869158878504
ABBADIA LARIANA,97001,2011,19051.106427818755
ABBADIA LARIANA,97001,2015,20661.56670746634
ABBADIA LARIANA,97001,2019,20996.341463414636
ABBADIA LARIANA,97001,2020,20680.555555555555
ABBADIA LARIANA,97001,2021,21337.252475247526
ABBADIA LARIANA,97001,2022,22272.222222222223
ABBADIA SAN SALVATORE,52001,2001,11287.545787545789
ABBADIA SAN SALVATORE,52001,2004,12471.1093990755
ABBADIA SAN SALVATORE,52001,2011,14954.499494438827
ABBADIA SAN SALVATORE,52001,2015,15928.693667997719
ABBADIA SAN SALVATORE,52001,2019,17095.096982758623
ABBADIA SAN SALVATORE,52001,2020,16822.252747252747
ABBADIA SAN SALVATORE,52001,2021,17380.597014925374
ABBADIA SAN SALVATORE,52001,2022,18216.174183514777
ABBASANTA,95001,2001,11084.710743801654
ABBASANTA,95001,2004,12983.576642335767
ABBASANTA,95001,2011,15543.34677419355
ABBASANTA,95001,2015,16424.21052631579
ABBASANTA,95001,2019,16997.81181619256
ABBASANTA,95001,2020,16750.56433408578
ABBASANTA,95001,2021,16864.80686695279
ABBASANTA,95001,2022,17983.050847457627
ABBATEGGIO,68001,2001,7985.074626865672
