mun,zip,prov,year,geom_id,bin_pop,percentile_bin,r_bin
ABANO TERME,NA,PD,2011,GiGU,0.4336815058866048,"[0,0.5)","[0,1.6e+04)"
ABANO TERME,NA,PD,2011,GiGU,0.43943584032008653,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABANO TERME,NA,PD,2011,GiGU,0.12688265379330865,"[0.9,1)","[4.53e+04,Inf)"
ABBADIA CERRETO,NA,LO,2011,6XMR,0.5241304105102053,"[0,0.5)","[0,1.6e+04)"
ABBADIA CERRETO,NA,LO,2011,6XMR,0.4264258727105077,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBADIA CERRETO,NA,LO,2011,6XMR,0.04944371677928705,"[0.9,1)","[4.53e+04,Inf)"
ABBADIA LARIANA,NA,LC,2011,4tt8,0.3924138752239055,"[0,0.5)","[0,1.6e+04)"
ABBADIA LARIANA,NA,LC,2011,4tt8,0.4892561121594968,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBADIA LARIANA,NA,LC,2011,4tt8,0.1183300126165977,"[0.9,1)","[4.53e+04,Inf)"
ABBADIA SAN SALVATORE,NA,SI,2011,AR3V,0.5315464416320462,"[0,0.5)","[0,1.6e+04)"
ABBADIA SAN SALVATORE,NA,SI,2011,AR3V,0.4015619484534999,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBADIA SAN SALVATORE,NA,SI,2011,AR3V,0.06689160991445386,"[0.9,1)","[4.53e+04,Inf)"
ABBASANTA,NA,OR,2011,kAA2,0.5103317180343417,"[0,0.5)","[0,1.6e+04)"
ABBASANTA,NA,OR,2011,kAA2,0.3981225375874804,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBASANTA,NA,OR,2011,kAA2,0.09154574437817786,"[0.9,1)","[4.53e+04,Inf)"
ABBATEGGIO,NA,PE,2011,CvFZ,0.7130015595393697,"[0,0.5)","[0,1.6e+04)"
ABBATEGGIO,NA,PE,2011,CvFZ,0.25633453302184395,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBATEGGIO,NA,PE,2011,CvFZ,0.03066390743878633,"[0.9,1)","[4.53e+04,Inf)"
ABBIATEGRASSO,NA,MI,2011,NbGz,0.3969592739601773,"[0,0.5)","[0,1.6e+04)"
ABBIATEGRASSO,NA,MI,2011,NbGz,0.4791166435791423,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABBIATEGRASSO,NA,MI,2011,NbGz,0.12392408246068043,"[0.9,1)","[4.53e+04,Inf)"
ABETONE,NA,PT,2011,NA,0.601899638538808,"[0,0.5)","[0,1.6e+04)"
ABETONE,NA,PT,2011,NA,0.35539434559549,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABETONE,NA,PT,2011,NA,0.042706015865701996,"[0.9,1)","[4.53e+04,Inf)"
ABRIOLA,NA,PZ,2011,XMUi,0.7453337953571089,"[0,0.5)","[0,1.6e+04)"
ABRIOLA,NA,PZ,2011,XMUi,0.23897931764953861,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ABRIOLA,NA,PZ,2011,XMUi,0.015686886993352522,"[0.9,1)","[4.53e+04,Inf)"
ACATE,NA,RG,2011,5sj3,0.8228415302538818,"[0,0.5)","[0,1.6e+04)"
ACATE,NA,RG,2011,5sj3,0.15314455927048443,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACATE,NA,RG,2011,5sj3,0.024013910475633726,"[0.9,1)","[4.53e+04,Inf)"
ACCADIA,NA,FG,2011,kQni,0.6708286200428633,"[0,0.5)","[0,1.6e+04)"
ACCADIA,NA,FG,2011,kQni,0.2850200393601635,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACCADIA,NA,FG,2011,kQni,0.04415134059697323,"[0.9,1)","[4.53e+04,Inf)"
ACCEGLIO,NA,CN,2011,kWzK,0.5913699224278336,"[0,0.5)","[0,1.6e+04)"
ACCEGLIO,NA,CN,2011,kWzK,0.34196080785041805,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACCEGLIO,NA,CN,2011,kWzK,0.06666926972174836,"[0.9,1)","[4.53e+04,Inf)"
ACCETTURA,NA,MT,2011,FLz8,0.8012718697165344,"[0,0.5)","[0,1.6e+04)"
ACCETTURA,NA,MT,2011,FLz8,0.18004031482476324,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACCETTURA,NA,MT,2011,FLz8,0.01868781545870235,"[0.9,1)","[4.53e+04,Inf)"
ACCIANO,NA,AQ,2011,KADr,0.7108470093532873,"[0,0.5)","[0,1.6e+04)"
ACCIANO,NA,AQ,2011,KADr,0.26908531748632025,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACCIANO,NA,AQ,2011,KADr,0.020067673160392485,"[0.9,1)","[4.53e+04,Inf)"
ACCUMOLI,NA,RI,2011,9Ug3,0.6903347767475245,"[0,0.5)","[0,1.6e+04)"
ACCUMOLI,NA,RI,2011,9Ug3,0.27247648253547585,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACCUMOLI,NA,RI,2011,9Ug3,0.037188740716999624,"[0.9,1)","[4.53e+04,Inf)"
ACERENZA,NA,PZ,2011,eHGg,0.699234776729869,"[0,0.5)","[0,1.6e+04)"
ACERENZA,NA,PZ,2011,eHGg,0.2651223985388733,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACERENZA,NA,PZ,2011,eHGg,0.03564282473125768,"[0.9,1)","[4.53e+04,Inf)"
ACERNO,NA,SA,2011,YBJY,0.8350712223205661,"[0,0.5)","[0,1.6e+04)"
ACERNO,NA,SA,2011,YBJY,0.14814752663752628,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACERNO,NA,SA,2011,YBJY,0.01678125104190764,"[0.9,1)","[4.53e+04,Inf)"
ACERRA,NA,NA,2011,NA,0.5820457062868116,"[0,0.5)","[0,1.6e+04)"
ACERRA,NA,NA,2011,NA,0.36210060639538255,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACERRA,NA,NA,2011,NA,0.05585368731780582,"[0.9,1)","[4.53e+04,Inf)"
ACI BONACCORSI,NA,CT,2011,LKlG,0.5815782101434295,"[0,0.5)","[0,1.6e+04)"
ACI BONACCORSI,NA,CT,2011,LKlG,0.32696087392567474,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACI BONACCORSI,NA,CT,2011,LKlG,0.09146091593089578,"[0.9,1)","[4.53e+04,Inf)"
ACI CASTELLO,NA,CT,2011,Jyki,0.48945231208600226,"[0,0.5)","[0,1.6e+04)"
ACI CASTELLO,NA,CT,2011,Jyki,0.3705771237417478,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACI CASTELLO,NA,CT,2011,Jyki,0.13997056417224996,"[0.9,1)","[4.53e+04,Inf)"
ACI CATENA,NA,CT,2011,tC5N,0.5843996491452392,"[0,0.5)","[0,1.6e+04)"
ACI CATENA,NA,CT,2011,tC5N,0.3425189095747153,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACI CATENA,NA,CT,2011,tC5N,0.07308144128004546,"[0.9,1)","[4.53e+04,Inf)"
ACI SANTANTONIO,NA,CT,2011,XMua,0.5849284068974789,"[0,0.5)","[0,1.6e+04)"
ACI SANTANTONIO,NA,CT,2011,XMua,0.3410435491844881,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACI SANTANTONIO,NA,CT,2011,XMua,0.07402804391803297,"[0.9,1)","[4.53e+04,Inf)"
ACIREALE,NA,CT,2011,NuMU,0.5888161008700237,"[0,0.5)","[0,1.6e+04)"
ACIREALE,NA,CT,2011,NuMU,0.3300608888421239,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACIREALE,NA,CT,2011,NuMU,0.0811230102878524,"[0.9,1)","[4.53e+04,Inf)"
ACQUACANINA,NA,MC,2011,NA,0.6712906540723084,"[0,0.5)","[0,1.6e+04)"
ACQUACANINA,NA,MC,2011,NA,0.28750923542548756,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUACANINA,NA,MC,2011,NA,0.04120011050220407,"[0.9,1)","[4.53e+04,Inf)"
ACQUAFONDATA,NA,FR,2011,2hfs,0.717240129401632,"[0,0.5)","[0,1.6e+04)"
ACQUAFONDATA,NA,FR,2011,2hfs,0.25201433359076564,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAFONDATA,NA,FR,2011,2hfs,0.030745537007602408,"[0.9,1)","[4.53e+04,Inf)"
ACQUAFORMOSA,NA,CS,2011,hwv7,0.7746733241675576,"[0,0.5)","[0,1.6e+04)"
ACQUAFORMOSA,NA,CS,2011,hwv7,0.21062021927617436,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAFORMOSA,NA,CS,2011,hwv7,0.01470645655626801,"[0.9,1)","[4.53e+04,Inf)"
ACQUAFREDDA,NA,BS,2011,8oZR,0.5246510026646967,"[0,0.5)","[0,1.6e+04)"
ACQUAFREDDA,NA,BS,2011,8oZR,0.41543968776951967,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAFREDDA,NA,BS,2011,8oZR,0.059909309565783664,"[0.9,1)","[4.53e+04,Inf)"
ACQUALAGNA,NA,PU,2011,LKe9,0.5927016856546876,"[0,0.5)","[0,1.6e+04)"
ACQUALAGNA,NA,PU,2011,LKe9,0.35156985921972694,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUALAGNA,NA,PU,2011,LKe9,0.05572845512558544,"[0.9,1)","[4.53e+04,Inf)"
ACQUANEGRA CREMONESE,NA,CR,2011,qAz3,0.43894691442759565,"[0,0.5)","[0,1.6e+04)"
ACQUANEGRA CREMONESE,NA,CR,2011,qAz3,0.49701714216735876,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUANEGRA CREMONESE,NA,CR,2011,qAz3,0.06403594340504559,"[0.9,1)","[4.53e+04,Inf)"
ACQUANEGRA SUL CHIESE,NA,MN,2011,y6sr,0.5443831400599555,"[0,0.5)","[0,1.6e+04)"
ACQUANEGRA SUL CHIESE,NA,MN,2011,y6sr,0.39909287695592854,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUANEGRA SUL CHIESE,NA,MN,2011,y6sr,0.056523982984115984,"[0.9,1)","[4.53e+04,Inf)"
ACQUAPENDENTE,NA,VT,2011,4aRO,0.5930416851376756,"[0,0.5)","[0,1.6e+04)"
ACQUAPENDENTE,NA,VT,2011,4aRO,0.33622313233336953,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAPENDENTE,NA,VT,2011,4aRO,0.07073518252895483,"[0.9,1)","[4.53e+04,Inf)"
ACQUAPPESA,NA,CS,2011,IxW6,0.712677372767147,"[0,0.5)","[0,1.6e+04)"
ACQUAPPESA,NA,CS,2011,IxW6,0.24655808014939873,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUAPPESA,NA,CS,2011,IxW6,0.04076454708345423,"[0.9,1)","[4.53e+04,Inf)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.8008009173816775,"[0,0.5)","[0,1.6e+04)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.17198037657654952,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUARICA DEL CAPO,NA,LE,2011,NA,0.02721870604177301,"[0.9,1)","[4.53e+04,Inf)"
ACQUARO,NA,VV,2011,3T3N,0.8081548238581862,"[0,0.5)","[0,1.6e+04)"
ACQUARO,NA,VV,2011,3T3N,0.1665557390310639,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUARO,NA,VV,2011,3T3N,0.025289437110749935,"[0.9,1)","[4.53e+04,Inf)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.639435529324718,"[0,0.5)","[0,1.6e+04)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.32338707127594635,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUASANTA TERME,NA,AP,2011,KAJq,0.03717739939933562,"[0.9,1)","[4.53e+04,Inf)"
ACQUASPARTA,NA,TR,2011,86H2,0.5248847956089426,"[0,0.5)","[0,1.6e+04)"
ACQUASPARTA,NA,TR,2011,86H2,0.4064263974986734,"[0.5,0.9)","[1.6e+04,4.53e+04)"
ACQUASPARTA,NA,TR,2011,86H2,0.06868880689238399,"[0.9,1)","[4.53e+04,Inf)"
ACQUAVIVA COLLECROCE,NA,CB,2011,tCwS,0.7871224216296636,"[0,0.5)","[0,1.6e+04)"
