mun,zip,prov,year,geom_id,property_type,property_status,contract_type,property_avg_price
ABBADIA CERRETO,NA,LO,2011,RTle,Abitazioni_civili,NORMALE,rents,2.8291114121866756
ABBADIA CERRETO,NA,LO,2011,RTle,Abitazioni_civili,NORMALE,sales,896.9477904496891
ABBADIA CERRETO,NA,LO,2011,RTle,Abitazioni_di_tipo_economico,NORMALE,rents,2.6935158608151726
ABBADIA CERRETO,NA,LO,2011,RTle,Abitazioni_di_tipo_economico,NORMALE,sales,923.3789652037932
ABBADIA CERRETO,NA,LO,2011,RTle,Box,NORMALE,rents,2.7815432304372774
ABBADIA CERRETO,NA,LO,2011,RTle,Box,NORMALE,sales,678.0355723687542
ABBADIA CERRETO,NA,LO,2011,RTle,Capannoni_industriali,NORMALE,rents,2.416325091413449
ABBADIA CERRETO,NA,LO,2011,RTle,Capannoni_industriali,NORMALE,sales,441.5812728533622
ABBADIA CERRETO,NA,LO,2011,RTle,Capannoni_tipici,NORMALE,rents,2.2888018819245213
ABBADIA CERRETO,NA,LO,2011,RTle,Capannoni_tipici,NORMALE,sales,450
ABBADIA CERRETO,NA,LO,2011,RTle,Laboratori,NORMALE,rents,3.112817433344926
ABBADIA CERRETO,NA,LO,2011,RTle,Laboratori,NORMALE,sales,526.2817433344926
ABBADIA CERRETO,NA,LO,2011,RTle,Magazzini,NORMALE,rents,2.2500000000000004
ABBADIA CERRETO,NA,LO,2011,RTle,Magazzini,NORMALE,sales,400
ABBADIA CERRETO,NA,LO,2011,RTle,Negozi,NORMALE,rents,5.388801881924521
ABBADIA CERRETO,NA,LO,2011,RTle,Negozi,NORMALE,sales,1034.7004704811302
ABBADIA CERRETO,NA,LO,2011,RTle,Uffici,NORMALE,rents,4.252995295188696
ABBADIA CERRETO,NA,LO,2011,RTle,Uffici,NORMALE,sales,990.2995295188697
ABBADIA CERRETO,NA,LO,2011,RTle,Ville_e_Villini,NORMALE,rents,3.2581222685266664
ABBADIA CERRETO,NA,LO,2011,RTle,Ville_e_Villini,NORMALE,sales,1073.4620752255942
ABBADIA CERRETO,NA,LO,2015,RTle,Abitazioni_civili,NORMALE,rents,2.6164426338880573
ABBADIA CERRETO,NA,LO,2015,RTle,Abitazioni_civili,NORMALE,sales,696.1912490046044
ABBADIA CERRETO,NA,LO,2015,RTle,Abitazioni_di_tipo_economico,NORMALE,rents,2.5999999999999996
ABBADIA CERRETO,NA,LO,2015,RTle,Abitazioni_di_tipo_economico,NORMALE,sales,765
ABBADIA CERRETO,NA,LO,2015,RTle,Box,NORMALE,rents,2.774399291984909
ABBADIA CERRETO,NA,LO,2015,RTle,Box,NORMALE,sales,562.95980529585
ABBADIA CERRETO,NA,LO,2015,RTle,Capannoni_industriali,NORMALE,rents,2.2692005310113186
ABBADIA CERRETO,NA,LO,2015,RTle,Capannoni_industriali,NORMALE,sales,407.8800796516978
ABBADIA CERRETO,NA,LO,2015,RTle,Capannoni_tipici,NORMALE,rents,2.3
ABBADIA CERRETO,NA,LO,2015,RTle,Capannoni_tipici,NORMALE,sales,429.67999114981137
ABBADIA CERRETO,NA,LO,2015,RTle,Laboratori,NORMALE,rents,3.082000885018864
ABBADIA CERRETO,NA,LO,2015,RTle,Laboratori,NORMALE,sales,507.2400619513205
ABBADIA CERRETO,NA,LO,2015,RTle,Magazzini,NORMALE,rents,1.5000000000000002
ABBADIA CERRETO,NA,LO,2015,RTle,Magazzini,NORMALE,sales,356.85998229962274
ABBADIA CERRETO,NA,LO,2015,RTle,Negozi,NORMALE,rents,3.7
ABBADIA CERRETO,NA,LO,2015,RTle,Negozi,NORMALE,sales,949.3599822996227
ABBADIA CERRETO,NA,LO,2015,RTle,Uffici,NORMALE,rents,3.4500000000000006
ABBADIA CERRETO,NA,LO,2015,RTle,Uffici,NORMALE,sales,954.3599822996229
ABBADIA CERRETO,NA,LO,2015,RTle,Ville_e_Villini,NORMALE,rents,3.3128003540075457
ABBADIA CERRETO,NA,LO,2015,RTle,Ville_e_Villini,NORMALE,sales,896.4001770037729
ABBADIA CERRETO,NA,LO,2019,RTle,Abitazioni_civili,NORMALE,rents,2.884128514185041
ABBADIA CERRETO,NA,LO,2019,RTle,Abitazioni_civili,NORMALE,sales,856.529226392375
ABBADIA CERRETO,NA,LO,2019,RTle,Abitazioni_di_tipo_economico,NORMALE,rents,2.898973649893803
ABBADIA CERRETO,NA,LO,2019,RTle,Abitazioni_di_tipo_economico,NORMALE,sales,908.7331489723888
ABBADIA CERRETO,NA,LO,2019,RTle,Box,NORMALE,rents,3.0154484075003065
ABBADIA CERRETO,NA,LO,2019,RTle,Box,NORMALE,sales,659.3752395325466
ABBADIA CERRETO,NA,LO,2019,RTle,Capannoni_industriali,NORMALE,rents,2.277364579281188
ABBADIA CERRETO,NA,LO,2019,RTle,Capannoni_industriali,NORMALE,sales,419.5607632135314
ABBADIA CERRETO,NA,LO,2019,RTle,Capannoni_tipici,NORMALE,rents,2.3
ABBADIA CERRETO,NA,LO,2019,RTle,Capannoni_tipici,NORMALE,sales,442.04392367864693
ABBADIA CERRETO,NA,LO,2019,RTle,Laboratori,NORMALE,rents,3.095607632135314
ABBADIA CERRETO,NA,LO,2019,RTle,Laboratori,NORMALE,sales,523.6486105708251
ABBADIA CERRETO,NA,LO,2019,RTle,Magazzini,NORMALE,rents,1.9500000000000002
ABBADIA CERRETO,NA,LO,2019,RTle,Magazzini,NORMALE,sales,363.63177103594063
ABBADIA CERRETO,NA,LO,2019,RTle,Negozi,NORMALE,rents,4.750000000000001
ABBADIA CERRETO,NA,LO,2019,RTle,Negozi,NORMALE,sales,949.0878473572938
