geom_id,year,pop,cl
ZurM,2021,6035,L
ZurM,2021,6059,M
ZurM,2021,2047,H
Ltnp,2021,2905,L
Ltnp,2021,3007,M
Ltnp,2021,720,H
5JhQ,2021,4916,L
5JhQ,2021,2665,M
5JhQ,2021,140,H
KC05,2021,6417,L
KC05,2021,5646,M
KC05,2021,658,H
IsFv,2021,2127,L
IsFv,2021,2073,M
IsFv,2021,1266,H
pMuk,2021,13811,L
pMuk,2021,11461,M
pMuk,2021,1323,H
sTw8,2021,9885,L
sTw8,2021,8180,M
sTw8,2021,1071,H
kQp1,2021,12820,L
kQp1,2021,11201,M
kQp1,2021,1505,H
81FR,2021,9078,L
81FR,2021,8542,M
81FR,2021,1785,H
LMQp,2021,10802,L
LMQp,2021,11540,M
LMQp,2021,2986,H
k3QK,2021,9596,L
k3QK,2021,6840,M
k3QK,2021,648,H
SjoI,2021,30260,L
SjoI,2021,20412,M
SjoI,2021,1749,H
KWe5,2021,18394,L
KWe5,2021,13540,M
KWe5,2021,1272,H
KWH5,2021,7811,L
KWH5,2021,6281,M
KWH5,2021,675,H
iLBD,2021,7696,L
iLBD,2021,6773,M
iLBD,2021,838,H
6J0g,2021,14259,L
6J0g,2021,9929,M
6J0g,2021,949,H
lUwi,2021,1274,L
lUwi,2021,1393,M
lUwi,2021,584,H
yEcr,2021,6939,L
yEcr,2021,5995,M
yEcr,2021,1051,H
N5cz,2021,3313,L
N5cz,2021,3037,M
N5cz,2021,410,H
XCMb,2021,10438,L
XCMb,2021,8261,M
XCMb,2021,862,H
pCik,2021,3712,L
pCik,2021,3349,M
pCik,2021,340,H
AoCs,2021,4602,L
AoCs,2021,3641,M
AoCs,2021,419,H
6X0V,2021,5590,L
6X0V,2021,4021,M
6X0V,2021,4657,H
eVWC,2021,15954,L
eVWC,2021,7550,M
eVWC,2021,7158,H
pQHl,2021,8552,L
pQHl,2021,6689,M
pQHl,2021,6605,H
RH3I,2021,10259,L
RH3I,2021,8804,M
RH3I,2021,5566,H
58bI,2021,14078,L
58bI,2021,11350,M
58bI,2021,3491,H
FpRa,2021,7607,L
FpRa,2021,7014,M
FpRa,2021,1603,H
2BL6,2021,15728,L
2BL6,2021,10162,M
2BL6,2021,2081,H
AeMe,2021,11361,L
AeMe,2021,9393,M
