geom_id,year,pop,cl
M3F7,2015,14305,L
M3F7,2015,11545,M
M3F7,2015,1887,H
VZj9,2015,15572,L
VZj9,2015,9614,M
VZj9,2015,1519,H
ARzh,2015,8186,L
ARzh,2015,6316,M
ARzh,2015,970,H
ySgs,2015,13036,L
ySgs,2015,11017,M
ySgs,2015,2951,H
2hOo,2015,9231,L
2hOo,2015,5542,M
2hOo,2015,861,H
HbBQ,2015,3115,L
HbBQ,2015,2211,M
HbBQ,2015,385,H
Rg2Q,2015,5729,L
Rg2Q,2015,3438,M
Rg2Q,2015,624,H
LKoF,2015,11791,L
LKoF,2015,9276,M
LKoF,2015,1556,H
IxZA,2015,3692,L
IxZA,2015,2185,M
IxZA,2015,335,H
KAPC,2015,4350,L
KAPC,2015,3456,M
KAPC,2015,603,H
6VhP,2015,18814,L
6VhP,2015,15067,M
6VhP,2015,2679,H
ySH8,2015,4307,L
ySH8,2015,3791,M
ySH8,2015,721,H
ySLf,2015,2339,L
ySLf,2015,1563,M
ySLf,2015,230,H
bn9f,2015,2997,L
bn9f,2015,1633,M
bn9f,2015,250,H
Dzgv,2015,12756,L
Dzgv,2015,9757,M
Dzgv,2015,2058,H
gXBj,2015,7896,L
gXBj,2015,5667,M
gXBj,2015,1343,H
Ejtr,2015,4170,L
Ejtr,2015,2426,M
Ejtr,2015,347,H
VZwF,2015,29201,L
VZwF,2015,20586,M
VZwF,2015,4188,H
4a9C,2015,3232,L
4a9C,2015,2050,M
4a9C,2015,306,H
Ot9p,2015,5025,L
Ot9p,2015,2705,M
Ot9p,2015,500,H
tCLl,2015,4330,L
tCLl,2015,2377,M
tCLl,2015,445,H
xisZ,2015,13427,L
xisZ,2015,10486,M
xisZ,2015,2208,H
KACW,2015,1263,L
KACW,2015,895,M
KACW,2015,151,H
eHmh,2015,8265,L
eHmh,2015,6010,M
eHmh,2015,1006,H
Rgvj,2015,7816,L
Rgvj,2015,6517,M
Rgvj,2015,1283,H
hfKE,2015,2939,L
hfKE,2015,3481,M
hfKE,2015,3419,H
Aen6,2015,4737,L
Aen6,2015,5039,M
Aen6,2015,4143,H
8gqw,2015,3862,L
8gqw,2015,4297,M
8gqw,2015,3393,H
Sxct,2015,8144,L
Sxct,2015,8105,M
Sxct,2015,1752,H
IouI,2015,11341,L
IouI,2015,11838,M
IouI,2015,3185,H
izwN,2015,26447,L
izwN,2015,22334,M
izwN,2015,4766,H
UKgR,2015,5338,L
UKgR,2015,7132,M
UKgR,2015,4873,H
Jrlq,2015,9674,L
Jrlq,2015,13253,M
Jrlq,2015,5971,H
yINx,2015,4440,L
yINx,2015,6356,M
yINx,2015,3763,H
kAV9,2015,12825,L
kAV9,2015,16430,M
kAV9,2015,6641,H
N29v,2015,6459,L
N29v,2015,4254,M
N29v,2015,1887,H
Xnd8,2015,3318,L
Xnd8,2015,2298,M
Xnd8,2015,885,H
zYGj,2015,5371,L
zYGj,2015,3715,M
zYGj,2015,1246,H
KsbQ,2015,5235,L
KsbQ,2015,3905,M
KsbQ,2015,1246,H
Z3Og,2015,8324,L
Z3Og,2015,7195,M
Z3Og,2015,1915,H
L5gF,2015,8367,L
L5gF,2015,6070,M
L5gF,2015,1327,H
oPh4,2015,3516,L
oPh4,2015,2621,M
oPh4,2015,900,H
bqOd,2015,6540,L
bqOd,2015,3141,M
bqOd,2015,564,H
lNjc,2015,8689,L
lNjc,2015,6664,M
lNjc,2015,1229,H
cEUf,2015,6756,L
cEUf,2015,3361,M
cEUf,2015,550,H
4txb,2015,9227,L
4txb,2015,7036,M
4txb,2015,1325,H
6XTX,2015,18873,L
6XTX,2015,13322,M
6XTX,2015,1942,H
tSD0,2015,16639,L
tSD0,2015,12331,M
tSD0,2015,1937,H
KsXp,2015,6390,L
KsXp,2015,4313,M
KsXp,2015,528,H
qTtR,2015,19150,L
qTtR,2015,14278,M
qTtR,2015,1994,H
Hbiw,2015,6517,L
Hbiw,2015,4169,M
Hbiw,2015,589,H
eHxB,2015,3988,L
eHxB,2015,1794,M
eHxB,2015,309,H
IxQw,2015,3299,L
IxQw,2015,2753,M
IxQw,2015,585,H
CvK0,2015,9032,L
CvK0,2015,9735,M
CvK0,2015,2044,H
5srw,2015,12841,L
5srw,2015,13422,M
5srw,2015,3791,H
FLd2,2015,19204,L
FLd2,2015,16481,M
FLd2,2015,3966,H
kQtw,2015,7055,L
kQtw,2015,3568,M
kQtw,2015,540,H
3TYV,2015,10203,L
3TYV,2015,7694,M
3TYV,2015,1466,H
M3cX,2015,10584,L
M3cX,2015,11140,M
M3cX,2015,2769,H
seIA,2015,2197,L
seIA,2015,2088,M
seIA,2015,681,H
VZPc,2015,7122,L
VZPc,2015,5467,M
VZPc,2015,1081,H
uEMW,2015,8418,L
uEMW,2015,4767,M
uEMW,2015,755,H
PcXr,2015,3757,L
PcXr,2015,2464,M
PcXr,2015,388,H
5sS9,2015,2234,L
5sS9,2015,1538,M
5sS9,2015,274,H
sevh,2015,21498,L
sevh,2015,17318,M
sevh,2015,3958,H
XMzO,2015,7891,L
XMzO,2015,5529,M
XMzO,2015,1082,H
Zquy,2015,5639,L
Zquy,2015,4318,M
Zquy,2015,725,H
