geom_id,year,pop,cl
kAZx,2011,9691,L
kAZx,2011,7461,M
kAZx,2011,1065,H
iz9c,2011,17493,L
iz9c,2011,14223,M
iz9c,2011,2339,H
4tin,2011,10948,L
4tin,2011,7078,M
4tin,2011,593,H
miBM,2011,3121,L
miBM,2011,3187,M
miBM,2011,693,H
MWyU,2011,13061,L
MWyU,2011,12296,M
MWyU,2011,2635,H
s6WS,2011,8194,L
s6WS,2011,6676,M
s6WS,2011,984,H
PuGb,2011,30701,L
PuGb,2011,19469,M
PuGb,2011,6620,H
QRqj,2011,12419,L
QRqj,2011,12897,M
QRqj,2011,6449,H
n0ro,2011,12631,L
n0ro,2011,13756,M
n0ro,2011,4057,H
qTCg,2011,10370,L
qTCg,2011,7069,M
qTCg,2011,757,H
vlhp,2011,30887,L
vlhp,2011,25010,M
vlhp,2011,4516,H
aCNZ,2011,15459,L
aCNZ,2011,15302,M
aCNZ,2011,4349,H
kAZU,2011,11674,L
kAZU,2011,14848,M
kAZU,2011,4818,H
31SG,2011,12141,L
31SG,2011,12084,M
31SG,2011,3342,H
Yj5T,2011,12514,L
Yj5T,2011,15932,M
Yj5T,2011,6826,H
6X7Z,2011,6593,L
6X7Z,2011,6336,M
6X7Z,2011,1228,H
tSz7,2011,23309,L
tSz7,2011,16824,M
tSz7,2011,1852,H
6XdM,2011,6864,L
6XdM,2011,7160,M
6XdM,2011,2347,H
rvuM,2011,21382,L
rvuM,2011,14188,M
rvuM,2011,1529,H
9L6n,2011,12388,L
9L6n,2011,12144,M
9L6n,2011,2505,H
XnJ6,2011,9910,L
XnJ6,2011,10471,M
XnJ6,2011,3375,H
58nN,2011,15571,L
58nN,2011,14215,M
58nN,2011,4493,H
58nx,2011,12548,L
58nx,2011,8020,M
58nx,2011,3184,H
Ae3H,2011,11884,L
Ae3H,2011,9409,M
Ae3H,2011,1601,H
QRqB,2011,22925,L
QRqB,2011,17129,M
QRqB,2011,1710,H
VMOa,2011,16125,L
VMOa,2011,10823,M
VMOa,2011,1534,H
lNf2,2011,7378,L
lNf2,2011,5602,M
lNf2,2011,771,H
oPwa,2011,5879,L
oPwa,2011,3499,M
oPwa,2011,375,H
gbdd,2011,15782,L
gbdd,2011,11153,M
gbdd,2011,1268,H
bqaO,2011,4048,L
bqaO,2011,3982,M
bqaO,2011,2359,H
Ioho,2011,7527,L
Ioho,2011,7598,M
Ioho,2011,3213,H
KsnQ,2011,6686,L
KsnQ,2011,5458,M
KsnQ,2011,1004,H
N2Uo,2011,5130,L
N2Uo,2011,4077,M
N2Uo,2011,874,H
s6WE,2011,11830,L
s6WE,2011,10455,M
s6WE,2011,3885,H
zYp9,2011,33202,L
zYp9,2011,21064,M
zYp9,2011,2489,H
Ae37,2011,14513,L
Ae37,2011,11398,M
Ae37,2011,2267,H
izFu,2011,23952,L
izFu,2011,16064,M
izFu,2011,2006,H
yIcl,2011,14890,L
yIcl,2011,9081,M
yIcl,2011,580,H
Fpgr,2011,15315,L
Fpgr,2011,9357,M
Fpgr,2011,673,H
zYLf,2011,21604,L
zYLf,2011,13154,M
zYLf,2011,906,H
RHTx,2011,17341,L
RHTx,2011,15057,M
RHTx,2011,1931,H
cEpF,2011,11609,L
cEpF,2011,10135,M
cEpF,2011,1667,H
AeWV,2011,18786,L
AeWV,2011,13654,M
AeWV,2011,1127,H
uhkQ,2011,19360,L
uhkQ,2011,12505,M
uhkQ,2011,1366,H
UKXg,2011,21341,L
UKXg,2011,15354,M
UKXg,2011,1394,H
pQbP,2011,8663,L
pQbP,2011,7325,M
pQbP,2011,1666,H
8g0F,2011,13380,L
8g0F,2011,12958,M
8g0F,2011,3250,H
SxYC,2011,10174,L
SxYC,2011,9010,M
SxYC,2011,1748,H
xDjk,2011,7433,L
xDjk,2011,6751,M
xDjk,2011,1684,H
OyDc,2011,8793,L
OyDc,2011,8537,M
OyDc,2011,2494,H
cEkG,2011,4809,L
cEkG,2011,4003,M
cEkG,2011,2343,H
L5XL,2011,13421,L
L5XL,2011,8794,M
L5XL,2011,2561,H
UKV6,2011,7245,L
UKV6,2011,3845,M
UKV6,2011,3261,H
Ksn8,2011,3447,L
Ksn8,2011,2534,M
Ksn8,2011,1942,H
2BKV,2011,12393,L
2BKV,2011,7116,M
2BKV,2011,923,H
Z3tX,2011,11685,L
Z3tX,2011,8746,M
Z3tX,2011,3206,H
8g0j,2011,5517,L
8g0j,2011,5093,M
8g0j,2011,3663,H
GkH4,2011,5100,L
GkH4,2011,4005,M
GkH4,2011,1814,H
eV1v,2011,2414,L
eV1v,2011,1927,M
eV1v,2011,1345,H
HZ4x,2011,7629,L
HZ4x,2011,7310,M
HZ4x,2011,3754,H
yIui,2011,4786,L
yIui,2011,4638,M
yIui,2011,2150,H
EwQA,2011,5300,L
EwQA,2011,4382,M
EwQA,2011,4507,H
L5Xt,2011,8213,L
L5Xt,2011,7435,M
L5Xt,2011,5768,H
hfsw,2011,12533,L
hfsw,2011,12901,M
hfsw,2011,6350,H
